timestamp,symbol,action,quantity,entry_price,exit_price,duration_minutes,pnl,pnl_percent,strategy_signals,sentiment_score,confidence,risk_reward_ratio,stop_loss_price,take_profit_price,exit_reason,fees
2025-10-18T06:44:56.770474,SOLUSD,SELL,0,186.497,186.497,60,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,Stop loss triggered,0.0
2025-10-18T06:45:57.235040,SOLUSD,SELL,0,186.476849555,186.476849555,60,-0.04905,-0.13237694833971,,0.0,0.0,0.0,0.0,0.0,Stop loss triggered,0.0
2025-10-18T06:46:57.599026,SOLUSD,SELL,0,186.247361043,186.247361043,60,-0.008959,-0.02435529754907,,0.0,0.0,0.0,0.0,0.0,Stop loss triggered,0.0
2025-10-18T06:47:57.970325,SOLUSD,SELL,0,186.12668308,186.12668308,60,-0.005236,-0.01433616897973,,0.0,0.0,0.0,0.0,0.0,Stop loss triggered,0.0
2025-10-18T06:48:58.343495,SOLUSD,SELL,0,185.912392449,185.912392449,60,-0.018602,-0.0513084920464,,0.0,0.0,0.0,0.0,0.0,Stop loss triggered,0.0
2025-10-18T06:49:58.764561,SOLUSD,SELL,0,185.854596116,185.854596116,60,0.02818,0.07823352802507,,0.0,0.0,0.0,0.0,0.0,Stop loss triggered,0.0
2025-10-18T06:50:59.241322,SOLUSD,SELL,0,186.004315326,186.004315326,60,0.005522,0.0154226738498,,0.0,0.0,0.0,0.0,0.0,Stop loss triggered,0.0
2025-10-18T06:51:59.607492,SOLUSD,SELL,0,185.931004214,185.931004214,60,-0.001914,-0.00538289511674,,0.0,0.0,0.0,0.0,0.0,Stop loss triggered,0.0
2025-10-18T06:52:59.947880,SOLUSD,SELL,0,185.806660068,185.806660068,60,0.002535,0.00717762178916,,0.0,0.0,0.0,0.0,0.0,Stop loss triggered,0.0
2025-10-18T06:54:00.305035,SOLUSD,SELL,0,185.80532726,185.80532726,60,0.002016,0.0057447411468400005,,0.0,0.0,0.0,0.0,0.0,Stop loss triggered,0.0
2025-10-18T06:55:00.677693,SOLUSD,SELL,0,185.82671922,185.82671922,60,-0.01252,-0.03590471405093,,0.0,0.0,0.0,0.0,0.0,Stop loss triggered,0.0
2025-10-18T06:56:01.254859,SOLUSD,SELL,0,185.960064991,185.960064991,60,-0.011188,-0.03230000083724,,0.0,0.0,0.0,0.0,0.0,Stop loss triggered,0.0
